monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779479385.624304,0.001540,2026-05-22T15:49:45.624,command,1,0.460242,0.037034,0.500000,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,,,,,,,,,,0,0,0,0,23495,14412,24732,13913,start_traj
1779479385.624919,0.002155,2026-05-22T15:49:45.624,command,1,0.460242,0.037034,0.500000,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,,,,,,,,,,0,0,1,0,23495,14412,24732,13913,set_constraints
1779479385.628100,0.005336,2026-05-22T15:49:45.628,sample,1,0.437604,0.059230,0.505250,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.619537115,,,,,,,,,0,0,1,0,23495,14412,24732,13913,set_constraints
1779479385.638659,0.015894,2026-05-22T15:49:45.638,sample,1,0.437883,0.059421,0.505243,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.637131214,,,,,,,,,0,0,1,0,23495,14412,24732,13913,set_constraints
1779479385.649306,0.026542,2026-05-22T15:49:45.649,sample,1,0.438040,0.059546,0.505265,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.645308971,,,,,,,,,0,0,1,0,23495,14412,24732,13913,set_constraints
1779479385.659891,0.037127,2026-05-22T15:49:45.659,sample,1,0.438186,0.059642,0.505332,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.653214455,,,,,,,,,0,0,1,0,23495,14412,24732,13913,set_constraints
1779479385.670642,0.047878,2026-05-22T15:49:45.670,sample,1,0.438418,0.059839,0.505326,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.670385599,,,,,,,,,0,0,1,0,11987,26134,13032,25373,set_constraints
1779479385.681250,0.058485,2026-05-22T15:49:45.681,sample,1,0.438544,0.059944,0.505354,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.678345680,,,,,,,,,0,0,1,0,11987,26134,13032,25373,set_constraints
1779479385.691829,0.069065,2026-05-22T15:49:45.691,sample,1,0.438648,0.060054,0.505351,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.686558008,,,,,,,,,0,0,1,0,11987,26134,13032,25373,set_constraints
1779479385.702422,0.079658,2026-05-22T15:49:45.702,sample,1,0.438726,0.060154,0.505374,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.695495605,,,,,,,,,0,0,1,0,11987,26134,13032,25373,set_constraints
1779479385.713250,0.090486,2026-05-22T15:49:45.713,sample,1,0.438934,0.060386,0.505384,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.711934090,,,,,,,,,0,0,1,0,11987,26134,13032,25373,set_constraints
1779479385.722883,0.100118,2026-05-22T15:49:45.722,command,1,0.460242,0.037034,0.500000,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,,,,,,,,,,0,0,1,0,21934,16227,23026,15666,set_constraints
1779479385.723952,0.101188,2026-05-22T15:49:45.723,sample,1,0.439033,0.060497,0.505369,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.720508337,,,,,,,,,0,0,1,0,21934,16227,23026,15666,set_constraints
1779479385.734479,0.111715,2026-05-22T15:49:45.734,sample,1,0.439118,0.060606,0.505383,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.728265524,,,,,,,,,0,0,1,0,21934,16227,23026,15666,set_constraints
1779479385.745221,0.122457,2026-05-22T15:49:45.745,sample,1,0.439324,0.060843,0.505439,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.744989872,,,,,,,,,0,0,1,0,21934,16227,23026,15666,set_constraints
1779479385.755873,0.133109,2026-05-22T15:49:45.755,sample,1,0.439398,0.060975,0.505440,0.436215,0.056461,0.505179,-0.205918,0.144930,0.000000,0.460242,0.037034,0.500000,,,1779479385.753497124,,,,,,,,,0,0,1,0,21934,16227,23026,15666,set_constraints
1779479385.766583,0.143819,2026-05-22T15:49:45.766,sample,1,0.439537,0.061124,0.505453,0.439662,0.059149,0.505594,0.643424,0.047594,0.000000,0.460242,0.037034,0.500000,,,1779479385.761875391,,,,,,,,,0,0,1,0,15087,23387,15888,22820,set_constraints
1779479385.777141,0.154376,2026-05-22T15:49:45.777,sample,1,0.439619,0.061222,0.505445,0.439662,0.059149,0.505594,0.643424,0.047594,0.000000,0.460242,0.037034,0.500000,,,1779479385.770041227,,,,,,,,,0,0,1,0,15087,23387,15888,22820,set_constraints
1779479385.787686,0.164922,2026-05-22T15:49:45.787,sample,1,0.439838,0.061466,0.505439,0.439662,0.059149,0.505594,0.643424,0.047594,0.000000,0.460242,0.037034,0.500000,,,1779479385.786849737,,,,,,,,,0,0,1,0,15087,23387,15888,22820,set_constraints
