monotonic_s,elapsed_s,wall_time_iso,event,mocap_valid,mocap_x,mocap_y,mocap_z,state_est_x,state_est_y,state_est_z,stabilizer_roll,stabilizer_pitch,range_z_m,target_x,target_y,target_z,box_min_x,box_max_x,mocap_stamp_s,box1_raw_x,box1_raw_y,box1_raw_z,box2_raw_x,box2_raw_y,box2_raw_z,box1_cf_x,box2_cf_x,dynamic_x_min_mm,dynamic_x_max_mm,constraint_active,manual_constraints,fpga_u1_16,fpga_u2_16,fpga_u3_16,fpga_u4_16,command
1779488058.245078,0.001615,2026-05-22T18:14:18.245,command,1,0.225972,0.038012,0.500000,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,,,,,,,,,,0,0,0,0,20248,19188,20423,18987,start_traj
1779488058.248266,0.004804,2026-05-22T18:14:18.248,sample,1,0.177960,0.036624,0.502430,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.244484186,,,,,,,,,0,0,0,0,20248,19188,20423,18987,start_traj
1779488058.258833,0.015371,2026-05-22T18:14:18.258,sample,1,0.177663,0.036847,0.502353,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.252782583,,,,,,,,,0,0,0,0,20248,19188,20423,18987,start_traj
1779488058.269453,0.025990,2026-05-22T18:14:18.269,sample,1,0.177102,0.037274,0.502195,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.269187450,,,,,,,,,0,0,0,0,20248,19188,20423,18987,start_traj
1779488058.280023,0.036560,2026-05-22T18:14:18.280,sample,1,0.176888,0.037480,0.502149,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.278868675,,,,,,,,,0,0,0,0,20248,19188,20423,18987,start_traj
1779488058.290597,0.047135,2026-05-22T18:14:18.290,sample,1,0.176713,0.037716,0.502148,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.285699844,,,,,,,,,0,0,0,0,20990,18625,21500,17882,start_traj
1779488058.301193,0.057731,2026-05-22T18:14:18.301,sample,1,0.176532,0.037977,0.502104,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.294581413,,,,,,,,,0,0,0,0,20990,18625,21500,17882,start_traj
1779488058.311739,0.068277,2026-05-22T18:14:18.311,sample,1,0.176245,0.038463,0.502083,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.310852528,,,,,,,,,0,0,0,0,20990,18625,21500,17882,start_traj
1779488058.322318,0.078856,2026-05-22T18:14:18.322,sample,1,0.176154,0.038709,0.502068,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.319258928,,,,,,,,,0,0,0,0,20990,18625,21500,17882,start_traj
1779488058.332864,0.089402,2026-05-22T18:14:18.332,sample,1,0.176059,0.038966,0.502034,0.179530,0.036872,0.503386,-0.147309,-1.640798,0.000000,0.225972,0.038012,0.500000,,,1779488058.327756882,,,,,,,,,0,0,0,0,20990,18625,21500,17882,start_traj
