time_wall,time_ms,state_x,state_y,state_z,roll,pitch,yaw,u1_16,u2_16,u3_16,u4_16
2026-03-05T21:09:32.114776+00:00,1772744972114.776,0.517578,-0.470459,0.310547,-0.792480,-1.195312,1.443359,18876,20500,19346,20794
2026-03-05T21:09:32.123060+00:00,1772744972123.060,0.519043,-0.469482,0.310547,-0.761230,-1.222656,1.399414,19579,19874,20099,19971
2026-03-05T21:09:32.133286+00:00,1772744972133.286,0.520996,-0.468750,0.310547,-0.721680,-1.221680,1.390625,19632,19601,20196,20109
2026-03-05T21:09:32.145496+00:00,1772744972145.495,0.522461,-0.467773,0.310547,-0.731445,-1.252930,1.385742,18882,20428,19590,20652
2026-03-05T21:09:32.153968+00:00,1772744972153.968,0.524414,-0.466797,0.310547,-0.735840,-1.245117,1.361328,18200,21063,18876,21434
2026-03-05T21:09:32.164733+00:00,1772744972164.733,0.526367,-0.465820,0.310547,-0.757324,-1.247070,1.308594,18760,20556,19491,20787
2026-03-05T21:09:32.175296+00:00,1772744972175.296,0.528320,-0.464844,0.310547,-0.774902,-1.230469,1.280273,19409,19822,20141,20234
2026-03-05T21:09:32.184409+00:00,1772744972184.409,0.530273,-0.463623,0.310547,-0.809570,-1.250977,1.258789,18701,20593,19302,21042
2026-03-05T21:09:32.194850+00:00,1772744972194.850,0.532227,-0.462646,0.310547,-0.833008,-1.296875,1.210938,18759,20549,19287,21056
2026-03-05T21:09:32.205583+00:00,1772744972205.583,0.534180,-0.461670,0.310547,-0.843262,-1.322266,1.177734,19534,19743,20258,20138
2026-03-05T21:09:32.214836+00:00,1772744972214.835,0.533691,-0.461914,0.310547,-0.837402,-1.314453,1.177734,19610,19912,20340,19838
2026-03-05T21:09:32.223410+00:00,1772744972223.410,0.537109,-0.459961,0.310303,-0.783691,-1.229492,1.164062,19243,20370,19956,20140
2026-03-05T21:09:32.238878+00:00,1772744972238.878,0.539062,-0.458984,0.310303,-0.755859,-1.206055,1.137695,18792,20735,19472,20724
2026-03-05T21:09:32.244708+00:00,1772744972244.708,0.541016,-0.457764,0.310303,-0.729980,-1.185547,1.092773,18465,21095,19011,21152
2026-03-05T21:09:32.254386+00:00,1772744972254.386,0.541016,-0.458008,0.310303,-0.729980,-1.185547,1.092773,19392,20114,20030,20201
2026-03-05T21:09:32.264941+00:00,1772744972264.941,0.542969,-0.457031,0.310303,-0.714844,-1.171875,1.068359,19497,20053,20070,20149
2026-03-05T21:09:32.274765+00:00,1772744972274.765,0.544922,-0.456055,0.310303,-0.711426,-1.187500,1.055664,18911,20593,19615,20667
2026-03-05T21:09:32.285233+00:00,1772744972285.233,0.546875,-0.454834,0.310059,-0.722168,-1.171875,1.023438,18636,20733,19322,21106
2026-03-05T21:09:32.295298+00:00,1772744972295.298,0.548828,-0.453857,0.310059,-0.768555,-1.195312,0.980957,19518,19862,20256,20169
2026-03-05T21:09:32.304785+00:00,1772744972304.785,0.550781,-0.452881,0.310059,-0.813477,-1.216797,0.970703,19404,20008,20127,20279
2026-03-05T21:09:32.314857+00:00,1772744972314.857,0.553223,-0.451660,0.310059,-0.857910,-1.235352,0.957031,18736,20611,19416,21070
2026-03-05T21:09:32.323966+00:00,1772744972323.966,0.555176,-0.450439,0.310059,-0.908203,-1.250000,0.909180,18474,20887,19218,21281
2026-03-05T21:09:32.335225+00:00,1772744972335.225,0.557129,-0.449463,0.309814,-0.961914,-1.265625,0.869141,19104,20331,19829,20610
2026-03-05T21:09:32.344401+00:00,1772744972344.401,0.559082,-0.448242,0.309814,-0.987305,-1.264648,0.833008,19094,20315,19817,20644
2026-03-05T21:09:32.354972+00:00,1772744972354.972,0.561035,-0.447266,0.309814,-1.017578,-1.253906,0.829102,19845,19597,20743,19701
2026-03-05T21:09:32.364565+00:00,1772744972364.566,0.562988,-0.446289,0.309814,-1.025391,-1.201172,0.824219,18830,20731,19629,20710
2026-03-05T21:09:32.376736+00:00,1772744972376.736,0.565430,-0.445068,0.309814,-1.033203,-1.165039,0.804688,18928,20651,19812,20508
2026-03-05T21:09:32.386213+00:00,1772744972386.213,0.567383,-0.444092,0.309814,-1.009766,-1.106445,0.767090,18741,20958,19535,20672
2026-03-05T21:09:32.397430+00:00,1772744972397.430,0.569824,-0.442871,0.309814,-0.978516,-1.050781,0.741699,19374,20339,20208,19981
2026-03-05T21:09:32.407091+00:00,1772744972407.091,0.569824,-0.442871,0.309814,-0.978516,-1.050781,0.741699,19694,19961,20455,19782
2026-03-05T21:09:32.414747+00:00,1772744972414.748,0.571777,-0.441650,0.309570,-0.950195,-1.003906,0.740234,19353,20356,20108,20062
2026-03-05T21:09:32.424915+00:00,1772744972424.915,0.574219,-0.440430,0.309570,-0.913086,-0.956055,0.730957,18897,20864,19737,20358
2026-03-05T21:09:32.433907+00:00,1772744972433.907,0.576660,-0.439209,0.309570,-0.863770,-0.888184,0.701660,18139,21540,18696,21479
2026-03-05T21:09:32.445137+00:00,1772744972445.136,0.578613,-0.437988,0.309570,-0.842773,-0.886230,0.645996,19020,20640,19622,20571
2026-03-05T21:09:32.456401+00:00,1772744972456.401,0.581055,-0.436523,0.309570,-0.827637,-0.897461,0.616211,19481,20167,20183,20023
2026-03-05T21:09:32.466255+00:00,1772744972466.255,0.583496,-0.435547,0.309570,-0.823730,-0.896973,0.608887,19643,19989,20318,19902
2026-03-05T21:09:32.475269+00:00,1772744972475.269,0.585449,-0.434326,0.309570,-0.832520,-0.905762,0.604004,19091,20526,19789,20447
2026-03-05T21:09:32.483615+00:00,1772744972483.615,0.587402,-0.433105,0.309570,-0.844727,-0.926758,0.571777,18661,20960,19180,21027
2026-03-05T21:09:32.495444+00:00,1772744972495.444,0.589844,-0.431885,0.309570,-0.840332,-0.973145,0.528320,18682,21049,19118,20973
2026-03-05T21:09:32.504238+00:00,1772744972504.238,0.591797,-0.430908,0.309570,-0.825684,-1.018555,0.489502,18894,20854,19219,20866
2026-03-05T21:09:32.517667+00:00,1772744972517.667,0.593750,-0.429932,0.309570,-0.819824,-1.087891,0.465088,20185,19484,20660,19508
2026-03-05T21:09:32.523980+00:00,1772744972523.980,0.596191,-0.428467,0.309570,-0.832520,-1.142578,0.475342,19606,19973,20081,20178
2026-03-05T21:09:32.535145+00:00,1772744972535.144,0.598633,-0.427246,0.309570,-0.835449,-1.174805,0.458740,18867,20863,19247,20859
2026-03-05T21:09:32.544243+00:00,1772744972544.243,0.601074,-0.426025,0.309570,-0.827637,-1.215820,0.413330,18852,20901,19282,20811
2026-03-05T21:09:32.554744+00:00,1772744972554.743,0.603516,-0.424561,0.309570,-0.820312,-1.273438,0.369141,18800,20983,19051,21008
2026-03-05T21:09:32.568054+00:00,1772744972568.054,0.605469,-0.423584,0.309326,-0.785156,-1.299805,0.346680,19490,20353,19822,20185
2026-03-05T21:09:32.578015+00:00,1772744972578.016,0.605469,-0.423584,0.309326,-0.785156,-1.299805,0.346680,19636,20241,19914,19839
2026-03-05T21:09:32.584980+00:00,1772744972584.980,0.607422,-0.422607,0.309326,-0.758789,-1.327148,0.332520,19654,20218,19972,20010
2026-03-05T21:09:32.595502+00:00,1772744972595.502,0.609375,-0.421387,0.309326,-0.747070,-1.350586,0.330566,19557,20329,19881,20096
2026-03-05T21:09:32.605459+00:00,1772744972605.458,0.611816,-0.420166,0.309326,-0.735352,-1.365234,0.317139,19130,20714,19648,20373
2026-03-05T21:09:32.615069+00:00,1772744972615.069,0.614746,-0.418701,0.309326,-0.741699,-1.342773,0.289551,18554,21243,18942,21121
2026-03-05T21:09:32.625012+00:00,1772744972625.012,0.617188,-0.417480,0.309326,-0.764648,-1.350586,0.237671,19160,20603,19782,20309
2026-03-05T21:09:32.637848+00:00,1772744972637.848,0.619629,-0.416260,0.309326,-0.803223,-1.312500,0.223022,19927,19721,20616,19592
