time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
-0.55,-0.032876,-0.031861,0.049593,0.0000,0.000000,0.000000,0.000000,0.0000
4.61,-0.032948,-0.031788,0.049519,0.0000,0.000000,0.000000,0.000000,0.0000
9.97,-0.032972,-0.031750,0.049420,0.0000,0.000000,0.000000,0.000000,0.0000
15.47,-0.032972,-0.031750,0.049420,0.0000,-0.352671,-0.485410,0.000000,0.0000
20.81,-0.033001,-0.031663,0.049329,0.0000,-0.352671,-0.485410,0.000000,0.0000
26.13,-0.033101,-0.031615,0.049260,0.0000,-0.352671,-0.485410,0.000000,0.0000
31.55,-0.033101,-0.031615,0.049260,0.0000,-0.352671,-0.485410,0.000000,0.0000
36.87,-0.033153,-0.031581,0.049167,0.0000,-0.352671,-0.485410,0.000000,0.0000
42.19,-0.033153,-0.031581,0.049167,0.0000,-0.352671,-0.485410,0.000000,0.0000
47.49,-0.033194,-0.031543,0.049081,0.0000,-0.352671,-0.485410,0.000000,0.0000
53.05,-0.033330,-0.031622,0.049043,0.0000,-0.352671,-0.485410,0.000000,0.0000
58.37,-0.033330,-0.031622,0.049043,0.0000,-0.352671,-0.485410,0.000000,0.0000
63.73,-0.033505,-0.031841,0.048954,0.0000,-0.352671,-0.485410,0.000000,0.0000
69.09,-0.033505,-0.031841,0.048954,0.0000,-0.352671,-0.485410,0.000000,0.0000
74.44,-0.033790,-0.032125,0.048912,0.0000,-0.352671,-0.485410,0.000000,0.0000
79.75,-0.034197,-0.032485,0.048874,0.0000,-0.352671,-0.485410,0.000000,0.0000
85.23,-0.034695,-0.033054,0.048733,0.0000,-0.352671,-0.485410,0.000000,0.0000
90.54,-0.034695,-0.033054,0.048733,0.0000,-0.352671,-0.485410,0.000000,0.0000
95.88,-0.035235,-0.033619,0.048618,0.0000,-0.352671,-0.485410,0.000000,0.0000
101.20,-0.035792,-0.034196,0.048509,0.0000,-0.352671,-0.485410,0.000000,0.0000
106.54,-0.035792,-0.034196,0.048509,0.0000,-0.352671,-0.485410,0.000000,0.0000
111.86,-0.036293,-0.034806,0.048386,0.0000,-0.352671,-0.485410,0.000000,0.0000
117.49,-0.036969,-0.035503,0.048194,0.0000,-0.334110,-0.428283,0.000000,0.0000
122.89,-0.036969,-0.035503,0.048194,0.0000,-0.334110,-0.428283,0.000000,0.0000
128.30,-0.037700,-0.036322,0.048017,0.0000,-0.334110,-0.428283,0.000000,0.0000
133.65,-0.037700,-0.036322,0.048017,0.0000,-0.334110,-0.428283,0.000000,0.0000
